1,18,-0.082533
1,22,0
1,24,-0.03754
1,27,0.11596
1,37,0.050472
1,38,0.040872
1,40,-0.016679
4,1,0.06006
4,7,0.10377
4,18,-0.26914
4,22,-0.057859
4,24,0.29433
4,27,0.059096
4,36,0.0066816
4,37,0.1493
4,38,0.13303
4,40,-0.095602
4,44,0.25866
4,48,0.39835
4,51,0.39799
4,52,0.010479
4,57,0.38863
4,60,0.12088
4,66,0.10583
7,1,0
7,18,-0.062505
7,22,-0.53042
7,24,0.015314
7,27,0.0078228
7,37,0.029599
7,38,0.26962
7,40,0.065021
9,1,0.04727
9,4,0.3408
9,7,0.0086734
9,18,-0.026365
9,22,-0.057212
9,24,0.4594
9,25,-0.12068
9,27,-0.25338
9,29,-0.22125
9,35,0.099607
9,36,-0.0024459
9,37,0.049805
9,38,0.26594
9,40,-0.13574
9,44,0.51365
9,47,-0.17323
9,48,0.61442
9,51,0.46903
9,52,-0.05142
9,54,-0.041618
9,56,-0.098225
9,57,0.1245
9,60,0.43413
9,66,0.19994
9,71,-0.39424
9,74,0.29349
17,1,0.0067033
17,4,0.30209
17,7,-0.033889
17,9,0.31709
17,18,0.11672
17,22,-0.09857
17,24,0.24236
17,25,0.06226
17,27,-0.19824
17,29,-0.056876
17,35,-0.0051884
17,36,0.0064943
17,37,-0.06282
17,38,0.031999
17,40,0.0036527
17,44,0.23173
17,47,-0.21652
17,48,0.23941
17,51,0.13345
17,52,-0.067143
17,54,0.054568
17,56,0.085096
17,57,0.25113
17,60,0.038347
17,63,0.074662
17,66,0.020355
17,71,-0.041261
17,74,0.20315
22,18,-0.041443
22,24,0.052944
22,27,0.12407
22,37,0.048364
22,38,-0.32694
22,40,-0.011029
24,18,0.06362
25,1,0.045805
25,4,0.27688
25,7,0.1122
25,18,-0.28655
25,22,-0.064924
25,24,-0.27283
25,27,0.34697
25,29,-0.19016
25,36,-0.01633
25,37,0.1699
25,38,-0.016017
25,40,-0.14335
25,44,-0.017657
25,48,-0.064654
25,51,-0.041935
25,52,-0.31439
25,56,0.11031
25,57,0.22753
25,60,-0.077266
25,66,0.13426
26,1,-0.17704
26,4,0.36673
26,7,0
26,9,0.14268
26,17,0.14267
26,18,-0.22013
26,22,-0.050215
26,24,0.012482
26,25,0.24579
26,27,0.022559
26,29,-0.1521
26,35,0.14099
26,36,0.00054293
26,37,0.1648
26,38,-0.13638
26,40,-0.16662
26,44,-0.0016936
26,47,-0.049425
26,48,0.096965
26,51,0.087767
26,52,-0.12901
26,54,0.17364
26,56,0.018506
26,57,0.47207
26,60,-0.02448
26,63,0.26014
26,66,0.063475
26,71,0.0086902
26,74,0.32548
27,18,-0.15694
27,24,-0.07864
29,1,0.032014
29,4,-0.1283
29,7,-0.19842
29,18,0.0052279
29,22,0.44004
29,24,0.15673
29,27,0.064622
29,36,0.00048574
29,37,0.090729
29,38,-0.4544
29,40,-0.062639
29,44,-0.027793
29,48,-0.065292
29,51,0.054835
29,52,-0.070033
29,56,0.27205
29,57,0.032719
29,60,-0.073957
29,66,0.09414
34,1,-0.046287
34,4,0.072752
34,7,0.04913
34,9,-0.3743
34,17,-0.17475
34,18,0.048909
34,22,0.043224
34,24,-0.24772
34,25,0.058107
34,26,-0.054037
34,27,0.12183
34,29,0.055223
34,35,-0.22167
34,36,-0.042529
34,37,0.20559
34,38,-0.149
34,40,-0.0095945
34,44,-0.14363
34,47,0.28577
34,48,-0.21921
34,51,-0.053826
34,52,0.045011
34,54,0.21748
34,56,0.22748
34,57,-0.094088
34,60,-0.23005
34,63,-0.23089
34,66,-0.14827
34,71,0.40509
34,74,-0.043959
35,1,-0.090949
35,4,0.030963
35,7,0.014158
35,18,-0.016327
35,22,-0.055277
35,24,0.056948
35,25,0.030836
35,27,-0.080065
35,29,-0.10389
35,36,0.0013254
35,37,-0.1796
35,38,0.0038635
35,40,-0.0041787
35,44,0.11404
35,48,0.23508
35,51,0.067966
35,52,-0.012087
35,54,0.075872
35,56,0.10393
35,57,0.13465
35,60,0.16008
35,66,-0.016456
35,71,-0.03118
35,74,0.22688
36,1,-0.00096103
36,7,0.099371
36,18,0.0099774
36,22,-0.00031936
36,24,0.0031979
36,27,-0.07927
36,37,-0.0088817
36,38,0.024413
36,40,0.026702
37,18,-0.00095764
37,24,0.016436
37,27,0.22285
38,18,0.21581
38,24,0.099915
38,27,-0.073125
38,37,0.037124
40,18,0.39699
40,24,-0.024191
40,27,-0.019957
40,37,0.01241
40,38,0.18623
44,1,0.14271
44,7,-0.036123
44,18,0.072982
44,22,-0.07023
44,24,0.39951
44,27,-0.080758
44,36,-0.062859
44,37,0.010516
44,38,0.17819
44,40,-0.080679
47,1,-0.15357
47,4,-0.23772
47,7,-0.0021731
47,18,0.16144
47,22,0.046139
47,24,-0.18699
47,25,-0.11147
47,27,0.011124
47,29,0.11561
47,35,-0.21019
47,36,-0.0088793
47,37,0.23235
47,38,-0.028071
47,40,0.1692
47,44,-0.15521
47,48,-0.12233
47,51,-0.14978
47,52,0.1701
47,54,-0.090543
47,56,0.047032
47,57,-0.29838
47,60,-0.036149
47,66,-0.12264
47,71,0.20045
47,74,-0.094473
48,1,-0.016158
48,7,0.051088
48,18,0.0092363
48,22,-0.087688
48,24,0.51705
48,27,-0.2475
48,36,-0.043492
48,37,0.018357
48,38,0.20936
48,40,-0.071936
48,44,0.75149
48,52,-0.0095019
48,60,0.44456
51,1,0.077169
51,7,0.11755
51,18,0.11973
51,22,-0.13384
51,24,0.37869
51,27,-0.056812
51,36,0.015637
51,37,0.14127
51,38,0.28045
51,40,0.0080079
51,44,0.5876
51,48,0.60891
51,52,0.0082289
51,60,0.38599
52,1,-0.10034
52,7,0.026061
52,18,0.43534
52,22,1.8681e-21
52,24,0.028448
52,27,0.030982
52,36,-0.036973
52,37,-0.017239
52,38,0.28057
52,40,0.43446
52,44,-0.09266
52,60,0.32701
54,1,0.022744
54,4,0.12774
54,7,0.023717
54,18,-0.002972
54,22,0.00080554
54,24,0.19965
54,25,0.12073
54,27,0.20544
54,29,0.17822
54,36,-0.022223
54,37,0.24395
54,38,-0.06804
54,40,-0.076622
54,44,0.34352
54,48,0.25749
54,51,0.38132
54,52,0.0041159
54,56,0.5065
54,57,0.2991
54,60,0.278
54,66,0.026245
56,1,0.10565
56,4,0.041214
56,7,-0.051558
56,18,0.14264
56,22,0.20233
56,24,0.17044
56,27,0.25709
56,36,0.050937
56,37,0.14166
56,38,-0.1343
56,40,-0.056091
56,44,0.25466
56,48,0.24682
56,51,0.24215
56,52,0.10351
56,57,0.12795
56,60,0.15151
56,66,-0.056574
57,1,-0.084244
57,7,0.10781
57,18,0.0079797
57,22,-0.056889
57,24,0.13089
57,27,0.20008
57,36,0.0089897
57,37,0.18248
57,38,0.091987
57,40,0.019169
57,44,0.15085
57,48,0.11007
57,51,0.40763
57,52,0.1663
57,60,0.15856
57,66,-0.067202
60,1,0.019908
60,7,0.034734
60,18,0.1042
60,22,-0.068046
60,24,0.41186
60,27,0.11364
60,36,-0.071266
60,37,0.089115
60,38,0.3038
60,40,0.072589
60,44,0.27348
63,1,0.0019053
63,4,0.13214
63,7,0.079529
63,9,0.29702
63,18,-0.086243
63,22,-0.028646
63,24,0.24788
63,25,-0.064251
63,27,-0.24656
63,29,-0.021505
63,35,0.073179
63,36,0.10326
63,37,0.022869
63,38,0.26124
63,40,-0.31667
63,44,0.15983
63,47,-0.14746
63,48,0.19378
63,51,0.13577
63,52,-0.14002
63,54,0.093093
63,56,-0.038262
63,57,0.1316
63,60,0.0017736
63,66,0.31338
63,71,-0.072
63,74,0.22571
66,1,0.02862
66,7,0.02858
66,18,-0.54387
66,22,-0.017326
66,24,0.11542
66,27,-0.029344
66,36,0.011865
66,37,-0.0038722
66,38,-0.18677
66,40,-0.67948
66,44,0.11721
66,48,0.10035
66,51,-0.041989
66,52,-0.45054
66,60,0.03633
70,1,0.00036067
70,4,0.32702
70,7,0.022641
70,9,0.41059
70,17,0.22301
70,18,-0.20095
70,22,0.0051522
70,24,0.27758
70,25,-0.018917
70,26,0.14864
70,27,-0.075103
70,29,-0.12262
70,34,-0.086691
70,35,-0.11512
70,36,-0.027251
70,37,0.065889
70,38,0.0017786
70,40,-0.24329
70,44,0.243
70,47,-0.10212
70,48,0.19888
70,51,0.049061
70,52,-0.086466
70,54,0.11733
70,56,-0.204
70,57,0.0064714
70,60,0.18152
70,63,0.14816
70,66,0.24374
70,71,-0.10312
70,74,-0.025848
71,1,0.043566
71,4,-0.074646
71,7,-0.0067976
71,18,0.06824
71,22,0.23396
71,24,-0.203
71,25,0.33959
71,27,0.21981
71,29,0.26913
71,36,-0.0065609
71,37,0.13718
71,38,-0.24912
71,40,0.01071
71,44,-0.14711
71,48,-0.2128
71,51,-0.13765
71,52,0.03204
71,54,0.36581
71,56,0.51061
71,57,-0.043885
71,60,-0.25541
71,66,-0.085245
71,74,0.23141
74,1,-0.10676
74,4,0.031163
74,7,-0.099672
74,18,0.061015
74,22,0.078981
74,24,0.16429
74,25,0.14338
74,27,-0.049415
74,29,0.0084345
74,36,-0.021604
74,37,0.094255
74,38,-0.1093
74,40,-0.20602
74,44,0.29462
74,48,0.33606
74,51,0.21763
74,52,-0.1462
74,54,0.43928
74,56,0.47435
74,57,0.26141
74,60,0.13588
74,66,0.29749
78,1,-0.000941
78,4,0.14813
78,7,0.11956
78,9,0.030231
78,17,-0.0084124
78,18,0.072877
78,22,-0.080245
78,24,-0.06455
78,25,0.13553
78,26,0.043843
78,27,-0.10627
78,29,-0.01481
78,34,-0.049282
78,35,-0.058295
78,36,-0.018993
78,37,0.41855
78,38,0.24098
78,40,0.1253
78,44,0.19681
78,47,0.038435
78,48,0.19372
78,51,0.21273
78,52,-0.071573
78,54,0.044314
78,56,-0.080037
78,57,0.14716
78,60,-0.032594
78,63,-0.020773
78,66,-0.024483
78,70,0.069835
78,71,0.030256
78,74,0.016756
78,79,0.20139
79,1,-0.021394
79,4,-0.056216
79,7,-0.15762
79,9,-0.17516
79,17,-0.041187
79,18,0.0022101
79,22,0.031478
79,24,-0.17405
79,25,0.12323
79,26,0.27125
79,27,0.093227
79,29,-0.0047034
79,34,0.15333
79,35,0.1121
79,36,-0.31614
79,37,0.093397
79,38,-0.15263
79,40,-0.038882
79,44,0.18089
79,47,0.014833
79,48,0.042562
79,51,-0.018364
79,52,-0.17202
79,54,0.26878
79,56,0.27798
79,57,0.07429
79,60,-0.10223
79,63,-0.019563
79,66,0.0017396
79,70,-0.16058
79,71,0.14612
79,74,0.33998
